transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,total_amount
T19180,C001,P001,2024-02-04,1,55000,55000
T44353,C001,P001,2023-12-12,2,55000,110000
T20433,C003,P003,2023-07-24,1,7500,7500
T17164,C001,P001,2024-11-01,1,55000,55000
T34334,C008,P007,2024-07-30,10,150,1500
T49726,C001,P001,2024-06-22,1,55000,55000
T47648,C002,P002,2023-11-10,3,2000,6000
T25516,C001,P001,2023-02-01,1,55000,55000
T30940,C007,P006,2024-06-01,3,1200,3600
T49056,C010,P005,2024-12-06,2,30000,60000
T43802,C008,P007,2023-09-22,10,150,1500
T53266,C009,P004,2024-08-13,2,500,1000
T23712,C010,P005,2023-11-27,1,30000,30000
T33438,C003,P003,2023-10-22,1,7500,7500
T48719,C002,P002,2024-11-12,1,2000,2000
T31906,C001,P001,2024-09-24,1,55000,55000
T32247,C004,P003,2024-08-28,1,7500,7500
T30477,C003,P003,2023-02-04,2,7500,15000
T22549,C009,P004,2023-08-12,4,500,2000
T2811,C003,P003,2024-05-29,2,7500,15000
T25024,C009,P004,2023-07-28,2,500,1000
T25065,C004,P003,2023-07-19,1,7500,7500
T40259,C002,P002,2023-07-25,3,2000,6000
T5829,C010,P005,2024-02-07,1,30000,30000
T35921,C002,P002,2023-11-10,2,2000,4000
T42413,C001,P002,2023-09-05,1,2000,2000
T49935,C003,P003,2024-01-28,1,7500,7500
T34696,C001,P001,2024-07-30,2,55000,110000
T3668,C001,P002,2024-04-13,1,2000,2000
T18808,C007,P006,2024-07-20,1,1200,1200
T4298,C001,P002,2023-08-18,1,2000,2000
T52783,C007,P006,2023-08-15,3,1200,3600
T3761,C008,P007,2024-07-08,9,150,1350
T18295,C007,P006,2024-07-24,1,1200,1200
T14151,C003,P003,2024-03-04,1,7500,7500
T51025,C009,P004,2023-04-06,2,500,1000
T40883,C001,P002,2023-02-23,1,2000,2000
T31894,C007,P006,2024-07-20,2,1200,2400
T30145,C009,P004,2023-09-21,2,500,1000
T27670,C009,P004,2024-02-24,2,500,1000
T29474,C008,P007,2023-04-11,9,150,1350
T5244,C010,P005,2023-04-30,1,30000,30000
T29292,C010,P005,2024-12-27,2,30000,60000
T15295,C009,P004,2024-10-03,2,500,1000
T22712,C001,P002,2023-03-03,1,2000,2000
T50546,C002,P002,2023-07-10,1,2000,2000
T21078,C004,P003,2023-06-07,1,7500,7500
T37653,C010,P005,2023-05-21,1,30000,30000
T49643,C008,P007,2024-08-01,11,150,1650
T32165,C008,P007,2023-01-01,9,150,1350
T51954,C010,P005,2023-05-17,2,30000,60000
T49585,C009,P004,2023-08-29,3,500,1500
T35102,C002,P002,2023-02-25,3,2000,6000
T22265,C008,P007,2023-03-11,9,150,1350
T8306,C008,P007,2024-05-16,11,150,1650
T2632,C009,P004,2023-07-14,2,500,1000
T17981,C008,P007,2023-08-12,11,150,1650
T37204,C007,P006,2023-05-03,1,1200,1200
T50955,C010,P005,2024-03-20,2,30000,60000
T36841,C009,P004,2024-02-02,4,500,2000
T39497,C001,P002,2023-08-21,1,2000,2000
T48582,C004,P003,2024-05-16,1,7500,7500
T40741,C007,P006,2024-07-15,1,1200,1200
T11127,C003,P003,2023-01-17,2,7500,15000
T47827,C001,P001,2023-03-24,2,55000,110000
T45553,C009,P004,2024-10-24,4,500,2000
T7985,C002,P002,2024-03-11,1,2000,2000
T18951,C010,P005,2023-09-30,1,30000,30000
T15224,C001,P002,2023-08-28,1,2000,2000
T36530,C008,P007,2024-03-18,9,150,1350
T4799,C002,P002,2024-10-23,1,2000,2000
T10931,C001,P002,2023-03-31,1,2000,2000
T21189,C003,P003,2023-06-01,1,7500,7500
T21730,C009,P004,2024-09-12,2,500,1000
T54457,C007,P006,2023-02-14,3,1200,3600
T33428,C002,P002,2024-08-04,1,2000,2000
T4803,C010,P005,2023-09-25,1,30000,30000
T4265,C008,P007,2024-12-22,11,150,1650
T31959,C004,P003,2024-08-28,1,7500,7500
T7720,C007,P006,2024-11-01,1,1200,1200
T13223,C002,P002,2024-07-22,2,2000,4000
T2414,C002,P002,2024-04-03,2,2000,4000
T28391,C001,P002,2024-10-20,1,2000,2000
T7890,C010,P005,2024-08-16,1,30000,30000
T24414,C010,P005,2024-08-03,1,30000,30000
T26458,C007,P006,2023-09-05,1,1200,1200
T5573,C002,P002,2023-10-12,3,2000,6000
T20805,C010,P005,2023-11-15,1,30000,30000
T2221,C007,P006,2024-08-20,3,1200,3600
T8327,C002,P002,2023-11-27,1,2000,2000
T16590,C003,P003,2024-12-26,1,7500,7500
T39280,C009,P004,2023-07-27,4,500,2000
T27139,C009,P004,2023-09-13,3,500,1500
T12912,C010,P005,2024-10-27,1,30000,30000
T26639,C008,P007,2024-03-01,9,150,1350
T47424,C003,P003,2023-08-20,2,7500,15000
T16655,C001,P002,2024-09-12,2,2000,4000
T23321,C002,P002,2024-07-17,1,2000,2000
T33679,C001,P001,2024-12-09,2,55000,110000
T33585,C010,P005,2023-04-08,1,30000,30000
T15222,C003,P003,2023-02-13,1,7500,7500
T29566,C001,P001,2024-10-01,1,55000,55000
T17189,C008,P007,2023-10-22,11,150,1650
T26419,C009,P004,2024-05-17,4,500,2000
T12541,C009,P004,2024-09-08,3,500,1500
T3758,C001,P002,2023-03-13,1,2000,2000
T50796,C004,P003,2023-08-03,2,7500,15000
T30285,C004,P003,2024-11-05,1,7500,7500
T15198,C010,P005,2024-11-15,1,30000,30000
T17399,C002,P002,2023-01-13,1,2000,2000
T41742,C004,P003,2023-02-21,1,7500,7500
T10459,C001,P001,2024-08-23,1,55000,55000
T45720,C004,P003,2024-10-28,2,7500,15000
T51260,C001,P002,2024-03-11,1,2000,2000
T51266,C002,P002,2024-10-20,3,2000,6000
T26233,C007,P006,2023-06-05,3,1200,3600
T15495,C010,P005,2024-07-29,1,30000,30000
T30302,C008,P007,2023-06-28,10,150,1500
T3072,C003,P003,2024-08-19,2,7500,15000
T29847,C003,P003,2023-09-03,1,7500,7500
T50244,C010,P005,2024-02-21,2,30000,60000
T34838,C008,P007,2024-07-18,10,150,1500
T20035,C001,P001,2024-10-18,1,55000,55000
T29591,C008,P007,2024-11-30,10,150,1500
T46738,C001,P001,2024-02-03,2,55000,110000
T26244,C004,P003,2023-09-17,2,7500,15000
T6747,C010,P005,2024-11-16,1,30000,30000
T34814,C002,P002,2023-08-11,2,2000,4000
T6683,C001,P002,2023-06-19,1,2000,2000
T33671,C002,P002,2024-06-01,3,2000,6000
T17582,C001,P002,2023-06-16,2,2000,4000
T41304,C003,P003,2023-10-27,1,7500,7500
T25270,C007,P006,2024-10-10,2,1200,2400
T5384,C002,P002,2024-07-18,2,2000,4000
T31899,C003,P003,2023-07-04,2,7500,15000
T48136,C009,P004,2023-03-07,3,500,1500
T3008,C002,P002,2023-10-17,2,2000,4000
T37403,C008,P007,2024-09-01,9,150,1350
T29828,C002,P002,2023-04-06,3,2000,6000
T18104,C001,P002,2024-08-14,1,2000,2000
T4418,C008,P007,2023-12-12,10,150,1500
T22393,C001,P001,2024-11-10,1,55000,55000
T24444,C004,P003,2023-06-24,2,7500,15000
T15279,C010,P005,2024-06-19,1,30000,30000
T41900,C001,P002,2024-08-17,2,2000,4000
T53403,C010,P005,2023-03-18,1,30000,30000
T13487,C001,P002,2023-05-06,1,2000,2000
T54927,C004,P003,2024-07-07,1,7500,7500
T49041,C004,P003,2023-10-05,1,7500,7500
T40425,C010,P005,2023-03-26,1,30000,30000
T48408,C010,P005,2024-09-18,2,30000,60000
T34930,C001,P001,2023-04-10,1,55000,55000
T34238,C002,P002,2024-09-19,3,2000,6000
T29580,C010,P005,2023-10-20,1,30000,30000
T5157,C004,P003,2024-09-06,1,7500,7500
T50055,C010,P005,2023-12-07,1,30000,30000
T17050,C009,P004,2024-01-02,2,500,1000
T22232,C002,P002,2023-02-01,3,2000,6000
T45785,C002,P002,2024-12-26,1,2000,2000
T31166,C008,P007,2024-10-04,9,150,1350
T43168,C009,P004,2024-08-27,2,500,1000
T8841,C003,P003,2024-09-24,1,7500,7500
T37718,C008,P007,2023-07-15,9,150,1350
T27443,C002,P002,2024-04-24,3,2000,6000
T23013,C004,P003,2023-01-05,2,7500,15000
T24417,C004,P003,2023-03-07,1,7500,7500
T39241,C001,P001,2024-11-04,1,55000,55000
T41069,C002,P002,2024-09-26,2,2000,4000
T8149,C009,P004,2024-10-04,4,500,2000
T8422,C007,P006,2023-06-30,1,1200,1200
T14964,C010,P005,2024-04-11,1,30000,30000
T28838,C002,P002,2023-02-14,2,2000,4000
T20247,C010,P005,2024-08-14,1,30000,30000
T6195,C003,P003,2024-08-22,2,7500,15000
T6395,C001,P002,2023-03-08,1,2000,2000
T40241,C002,P002,2024-10-17,1,2000,2000
T24343,C007,P006,2024-12-23,2,1200,2400
T23715,C004,P003,2023-04-29,1,7500,7500
T43152,C010,P005,2024-01-21,1,30000,30000
T39443,C001,P002,2024-02-11,1,2000,2000
T6996,C003,P003,2024-04-12,1,7500,7500
T8427,C003,P003,2024-02-25,1,7500,7500
T28113,C010,P005,2023-01-14,2,30000,60000
T51172,C007,P006,2023-03-15,2,1200,2400
T1842,C010,P005,2024-12-07,1,30000,30000
T39666,C003,P003,2024-06-06,2,7500,15000
T32436,C004,P003,2023-02-26,2,7500,15000
T18180,C004,P003,2023-03-17,2,7500,15000
T5877,C004,P003,2023-07-21,1,7500,7500
T3899,C002,P002,2024-11-07,3,2000,6000
T7128,C004,P003,2023-04-18,2,7500,15000
T54099,C004,P003,2023-02-20,1,7500,7500
T17181,C004,P003,2023-08-24,2,7500,15000
T35665,C007,P006,2023-08-19,2,1200,2400
T33382,C001,P001,2024-11-21,1,55000,55000
T38021,C001,P002,2023-12-15,1,2000,2000
T13593,C003,P003,2024-06-20,1,7500,7500
T39822,C010,P005,2024-02-01,2,30000,60000
T7315,C007,P006,2023-02-17,3,1200,3600
T25862,C001,P002,2023-02-07,1,2000,2000
T2169,C004,P003,2023-07-25,2,7500,15000
T20021,C001,P002,2023-07-08,2,2000,4000
T44679,C003,P003,2024-11-20,1,7500,7500
T32970,C003,P003,2024-01-01,2,7500,15000
T21602,C002,P002,2023-12-15,1,2000,2000
T7994,C002,P002,2023-01-31,1,2000,2000
T9586,C001,P001,2024-09-25,2,55000,110000
T1586,C002,P002,2024-01-05,2,2000,4000
T18731,C002,P002,2024-11-29,1,2000,2000
T24759,C004,P003,2024-12-20,2,7500,15000
T32193,C004,P003,2024-11-18,1,7500,7500
T20031,C010,P005,2023-06-13,1,30000,30000
T35453,C002,P002,2023-06-08,1,2000,2000
T35786,C002,P002,2024-01-17,1,2000,2000
T19049,C001,P002,2024-07-28,1,2000,2000
T24480,C004,P003,2023-10-14,1,7500,7500
T35969,C001,P002,2024-11-10,1,2000,2000
T18897,C010,P005,2023-05-31,2,30000,60000
T32544,C004,P003,2024-12-23,1,7500,7500
T36915,C010,P005,2023-08-23,1,30000,30000
T48286,C001,P001,2024-02-09,1,55000,55000
T46480,C009,P004,2023-01-14,2,500,1000
T42519,C003,P003,2024-05-08,1,7500,7500
T26859,C003,P003,2023-12-11,1,7500,7500
T17946,C004,P003,2024-09-14,1,7500,7500
T23529,C003,P003,2023-03-09,1,7500,7500
T33075,C004,P003,2023-07-29,2,7500,15000
T42166,C001,P001,2023-06-21,1,55000,55000
T26492,C001,P002,2023-04-13,1,2000,2000
T2165,C001,P002,2023-11-24,1,2000,2000
T4419,C004,P003,2024-08-25,1,7500,7500
T3493,C001,P001,2024-10-14,1,55000,55000
T5859,C004,P003,2023-12-06,2,7500,15000
T26098,C007,P006,2023-01-19,3,1200,3600
T19821,C003,P003,2023-08-03,1,7500,7500
T19209,C003,P003,2024-04-17,1,7500,7500
T47089,C001,P001,2024-07-02,1,55000,55000
T33898,C009,P004,2023-01-20,4,500,2000
T19399,C009,P004,2024-03-08,2,500,1000
T47146,C009,P004,2023-02-14,3,500,1500
T53882,C008,P007,2023-07-06,10,150,1500
T42636,C003,P003,2023-04-05,1,7500,7500
T37424,C002,P002,2023-12-29,1,2000,2000
T22743,C004,P003,2024-06-19,1,7500,7500
T23046,C010,P005,2024-03-15,2,30000,60000
T19633,C009,P004,2024-04-04,3,500,1500
T19737,C004,P003,2024-06-27,1,7500,7500
T37878,C010,P005,2024-06-06,1,30000,30000
T36140,C001,P002,2024-08-26,1,2000,2000
T54247,C009,P004,2024-01-19,3,500,1500
T28515,C003,P003,2024-07-15,1,7500,7500
T17171,C008,P007,2023-11-30,11,150,1650
T29218,C009,P004,2024-10-12,3,500,1500
T13949,C008,P007,2024-01-11,10,150,1500
T32937,C010,P005,2023-09-20,2,30000,60000
T51740,C008,P007,2023-06-21,10,150,1500
T43068,C003,P003,2023-06-10,1,7500,7500
T20044,C001,P001,2023-02-21,1,55000,55000
T53017,C007,P006,2024-04-23,3,1200,3600
T42293,C002,P002,2023-07-29,2,2000,4000
T44172,C004,P003,2023-10-19,2,7500,15000
T31174,C007,P006,2024-01-05,2,1200,2400
T16443,C004,P003,2024-07-10,1,7500,7500
T54822,C003,P003,2023-05-17,1,7500,7500
T46615,C009,P004,2024-05-17,2,500,1000
T18965,C002,P002,2023-07-12,3,2000,6000
T53056,C001,P001,2023-02-08,1,55000,55000
T50151,C003,P003,2023-08-25,1,7500,7500
T31291,C007,P006,2024-07-15,1,1200,1200
T8680,C009,P004,2024-02-07,4,500,2000
T43248,C003,P003,2023-05-29,2,7500,15000
T44054,C008,P007,2023-06-11,11,150,1650
T31675,C009,P004,2023-07-27,2,500,1000
T38640,C003,P003,2023-01-21,1,7500,7500
T18280,C001,P001,2023-01-05,1,55000,55000
T20833,C007,P006,2023-07-21,2,1200,2400
T13668,C010,P005,2024-07-18,1,30000,30000
T30962,C002,P002,2024-02-25,3,2000,6000
T29712,C003,P003,2024-02-04,2,7500,15000
T20331,C004,P003,2023-01-21,1,7500,7500
T41396,C001,P002,2024-10-27,1,2000,2000
T14816,C002,P002,2023-05-07,2,2000,4000
T22970,C002,P002,2023-03-05,2,2000,4000
T41418,C004,P003,2023-03-15,1,7500,7500
T53177,C001,P002,2024-04-02,1,2000,2000
T43603,C007,P006,2023-05-02,2,1200,2400
T48411,C004,P003,2024-09-28,1,7500,7500
T47365,C007,P006,2024-05-13,2,1200,2400
T32631,C010,P005,2023-01-13,1,30000,30000
T36848,C002,P002,2024-10-28,2,2000,4000
T39389,C001,P002,2023-11-13,2,2000,4000
T4035,C003,P003,2023-03-28,1,7500,7500
T53545,C009,P004,2024-09-07,3,500,1500
T44457,C010,P005,2023-03-30,2,30000,60000
T9489,C003,P003,2023-05-14,1,7500,7500
T27606,C003,P003,2024-12-11,1,7500,7500
T6360,C010,P005,2024-03-31,2,30000,60000
T31582,C001,P001,2023-07-09,2,55000,110000
T16359,C010,P005,2023-02-15,2,30000,60000
T2477,C002,P002,2023-04-09,3,2000,6000
T25927,C007,P006,2024-09-08,3,1200,3600
T43723,C001,P001,2024-11-23,1,55000,55000
T48129,C010,P005,2024-07-18,1,30000,30000
T36188,C008,P007,2023-06-21,10,150,1500
T11104,C007,P006,2023-07-17,2,1200,2400
T11644,C007,P006,2023-08-08,1,1200,1200
T21290,C001,P002,2024-09-02,1,2000,2000
T7658,C008,P007,2024-07-11,11,150,1650
T52193,C002,P002,2024-11-06,3,2000,6000
T35887,C009,P004,2024-09-19,4,500,2000
T21507,C010,P005,2024-06-25,1,30000,30000
T13967,C008,P007,2024-07-04,11,150,1650
T15029,C008,P007,2024-01-30,10,150,1500
T4861,C001,P001,2024-07-28,1,55000,55000
T21210,C010,P005,2023-01-18,1,30000,30000
T21205,C001,P001,2024-03-19,1,55000,55000
T44600,C001,P002,2023-12-12,1,2000,2000
T38279,C002,P002,2023-04-21,2,2000,4000
T53637,C010,P005,2023-08-06,2,30000,60000
T44929,C001,P001,2023-09-28,1,55000,55000
T10785,C003,P003,2023-08-26,1,7500,7500
T51822,C004,P003,2023-10-10,2,7500,15000
T32265,C004,P003,2024-10-18,1,7500,7500
T16789,C009,P004,2024-03-27,2,500,1000
T5130,C004,P003,2023-06-14,2,7500,15000
T29883,C003,P003,2023-06-06,1,7500,7500
T52818,C010,P005,2023-05-15,2,30000,60000
T9318,C003,P003,2024-02-07,1,7500,7500
T24688,C001,P001,2023-12-23,2,55000,110000
T5878,C001,P001,2023-03-09,1,55000,55000
T20740,C009,P004,2024-08-19,2,500,1000
T47189,C002,P002,2024-01-27,2,2000,4000
T29808,C004,P003,2023-08-28,1,7500,7500
T21031,C007,P006,2024-04-07,3,1200,3600
T23126,C001,P002,2023-03-21,1,2000,2000
T53870,C001,P002,2023-03-28,2,2000,4000
T41189,C001,P002,2024-07-17,2,2000,4000
T34309,C001,P001,2023-10-19,1,55000,55000
T49927,C009,P004,2024-11-02,3,500,1500
T36415,C001,P001,2024-02-12,1,55000,55000
T39943,C001,P001,2024-07-24,1,55000,55000
T16679,C002,P002,2023-10-30,3,2000,6000
T24748,C007,P006,2024-03-05,1,1200,1200
T26612,C008,P007,2023-03-09,10,150,1500
T43925,C001,P002,2023-03-22,1,2000,2000
T31000,C009,P004,2023-04-05,3,500,1500
T35972,C008,P007,2023-10-07,11,150,1650
T41844,C003,P003,2024-03-17,1,7500,7500
T42461,C008,P007,2023-09-08,9,150,1350
T5513,C001,P002,2024-08-14,2,2000,4000
T5248,C001,P001,2023-02-24,2,55000,110000
T15355,C001,P001,2023-07-15,1,55000,55000
T35001,C004,P003,2023-08-01,1,7500,7500
T18491,C001,P002,2023-10-23,2,2000,4000
T1708,C007,P006,2024-05-15,2,1200,2400
T36635,C001,P002,2023-05-24,2,2000,4000
T43377,C010,P005,2023-01-23,1,30000,30000
T16548,C010,P005,2024-06-15,1,30000,30000
T28496,C002,P002,2023-01-22,3,2000,6000
T46347,C010,P005,2024-10-05,1,30000,30000
T51033,C003,P003,2023-11-22,1,7500,7500
T5890,C009,P004,2023-06-16,4,500,2000
T53835,C010,P005,2023-10-10,2,30000,60000
T51682,C009,P004,2023-04-05,4,500,2000
T26975,C002,P002,2024-04-01,3,2000,6000
T44092,C001,P001,2023-06-02,1,55000,55000
T10846,C001,P001,2023-03-07,2,55000,110000
T19661,C001,P002,2023-11-27,1,2000,2000
T22163,C001,P002,2023-05-21,1,2000,2000
T18051,C010,P005,2023-12-30,1,30000,30000
T8340,C010,P005,2023-10-09,2,30000,60000
T5040,C004,P003,2024-12-11,2,7500,15000
T39585,C003,P003,2023-11-25,2,7500,15000
T30676,C009,P004,2023-05-16,3,500,1500
T40991,C001,P002,2023-10-11,1,2000,2000
T14458,C009,P004,2023-03-21,2,500,1000
T15513,C010,P005,2024-12-25,2,30000,60000
T23907,C003,P003,2023-02-09,2,7500,15000
T4840,C007,P006,2023-03-02,1,1200,1200
T2655,C004,P003,2024-06-02,1,7500,7500
T47837,C002,P002,2024-12-23,3,2000,6000
T24198,C010,P005,2024-02-09,1,30000,30000
T47324,C002,P002,2024-01-22,2,2000,4000
T30042,C004,P003,2023-05-19,1,7500,7500
T43126,C007,P006,2024-03-28,2,1200,2400
T11999,C002,P002,2023-03-14,2,2000,4000
T48149,C008,P007,2024-05-19,10,150,1500
T43949,C002,P002,2024-11-10,1,2000,2000
T8673,C010,P005,2023-03-08,1,30000,30000
T5021,C008,P007,2024-08-17,11,150,1650
T14695,C007,P006,2024-09-29,3,1200,3600
T21036,C003,P003,2023-04-20,2,7500,15000
T41540,C001,P002,2023-10-24,1,2000,2000
T40658,C001,P002,2024-12-10,1,2000,2000
T10618,C007,P006,2023-05-31,2,1200,2400
T51977,C002,P002,2024-12-18,2,2000,4000
T37891,C001,P001,2024-07-29,2,55000,110000
T36581,C001,P002,2023-01-02,1,2000,2000
T54538,C007,P006,2023-09-03,3,1200,3600
T48239,C008,P007,2024-12-15,10,150,1500
T6966,C004,P003,2024-10-10,2,7500,15000
T35176,C009,P004,2023-08-29,4,500,2000
T27525,C003,P003,2024-07-12,2,7500,15000
T37140,C010,P005,2024-02-09,1,30000,30000
T10314,C004,P003,2023-05-25,1,7500,7500
T35240,C001,P002,2023-04-09,1,2000,2000
T12988,C001,P001,2024-01-23,1,55000,55000
T38785,C009,P004,2024-09-21,3,500,1500
T51510,C003,P003,2024-08-31,1,7500,7500
T46192,C009,P004,2023-01-09,4,500,2000
T33027,C010,P005,2024-01-22,1,30000,30000
T46110,C003,P003,2023-02-24,1,7500,7500
T32785,C007,P006,2023-09-27,1,1200,1200
T34112,C002,P002,2023-09-15,3,2000,6000
T5580,C004,P003,2024-05-13,1,7500,7500
T21090,C003,P003,2024-10-21,1,7500,7500
T47641,C009,P004,2023-06-21,2,500,1000
T26902,C001,P001,2024-07-11,1,55000,55000
T33302,C002,P002,2024-12-13,3,2000,6000
T7648,C007,P006,2024-08-30,1,1200,1200
T17570,C002,P002,2023-07-30,2,2000,4000
T28550,C002,P002,2024-09-27,3,2000,6000
T2639,C002,P002,2024-10-19,2,2000,4000
T4649,C001,P002,2023-11-11,2,2000,4000
T50814,C004,P003,2024-05-04,1,7500,7500
T37073,C002,P002,2023-09-20,2,2000,4000
T28226,C002,P002,2024-11-29,1,2000,2000
T5212,C001,P001,2023-01-29,2,55000,110000
T18856,C001,P001,2024-08-28,1,55000,55000
T53712,C004,P003,2024-05-03,1,7500,7500
T22351,C009,P004,2024-03-13,4,500,2000
T22567,C009,P004,2023-02-14,4,500,2000
T47800,C001,P001,2023-06-29,2,55000,110000
T24556,C009,P004,2024-05-14,4,500,2000
T7990,C007,P006,2023-06-17,2,1200,2400
T20849,C001,P002,2023-03-11,2,2000,4000
T47826,C004,P003,2023-12-03,1,7500,7500
T24822,C004,P003,2024-04-29,1,7500,7500
T26629,C007,P006,2023-07-18,2,1200,2400
T39235,C009,P004,2023-11-20,2,500,1000
T31556,C002,P002,2023-08-01,3,2000,6000
T6712,C007,P006,2023-06-04,1,1200,1200
T46267,C007,P006,2024-01-26,2,1200,2400
T31896,C004,P003,2023-09-14,1,7500,7500
T51020,C008,P007,2023-08-07,11,150,1650
T43433,C008,P007,2023-04-07,10,150,1500
T16190,C008,P007,2024-11-25,9,150,1350
T25803,C004,P003,2023-09-08,1,7500,7500
T7650,C004,P003,2023-07-19,2,7500,15000
T52346,C002,P002,2023-06-24,2,2000,4000
T47228,C001,P002,2023-07-09,1,2000,2000
T49049,C008,P007,2024-11-14,10,150,1500
T48279,C003,P003,2023-12-01,2,7500,15000
T20714,C001,P002,2024-02-03,1,2000,2000
T38218,C009,P004,2024-07-07,3,500,1500
T21759,C010,P005,2024-04-28,1,30000,30000
T31938,C010,P005,2024-04-15,2,30000,60000
T19303,C007,P006,2024-06-12,2,1200,2400
T20349,C004,P003,2024-07-14,1,7500,7500
T25349,C001,P002,2023-12-19,1,2000,2000
T35946,C004,P003,2024-05-28,2,7500,15000
T50398,C007,P006,2024-05-26,1,1200,1200
T44053,C007,P006,2023-09-09,2,1200,2400
T28300,C009,P004,2024-06-26,4,500,2000
T11873,C002,P002,2023-10-29,1,2000,2000
T47551,C009,P004,2024-11-22,4,500,2000
T10526,C001,P002,2023-05-31,1,2000,2000
T20855,C002,P002,2024-09-10,1,2000,2000
T31993,C007,P006,2023-01-17,1,1200,1200
T24986,C002,P002,2023-07-08,2,2000,4000
T43482,C003,P003,2024-12-05,2,7500,15000
T29959,C007,P006,2023-01-03,2,1200,2400
T14370,C010,P005,2024-06-09,1,30000,30000
T13604,C001,P002,2024-10-13,2,2000,4000
T53611,C007,P006,2024-05-15,2,1200,2400
T24460,C007,P006,2024-08-02,1,1200,1200
T5759,C008,P007,2023-01-16,9,150,1350
T16699,C009,P004,2023-08-11,4,500,2000
T1212,C010,P005,2023-01-06,1,30000,30000
T1080,C004,P003,2024-05-01,1,7500,7500
T21160,C001,P001,2024-06-11,1,55000,55000
T5264,C008,P007,2023-10-16,11,150,1650
T33730,C007,P006,2024-07-31,1,1200,1200
T20059,C007,P006,2024-12-06,3,1200,3600
T50997,C003,P003,2023-09-27,1,7500,7500
T54713,C002,P002,2023-06-26,1,2000,2000
